[2026-05-02T15:25:34.909Z] [WARNING] https://azovsky.ru/ 48 <link rel=preload> has an unsupported `type` value
[2026-05-02T15:25:34.909Z] [WARNING] https://azovsky.ru/ 51 <link rel=preload> has an unsupported `type` value
[2026-05-02T15:25:34.909Z] [WARNING] https://azovsky.ru/ 54 <link rel=preload> has an unsupported `type` value
[2026-05-02T15:26:04.397Z] [WARNING] https://azovsky.ru/oplatit-uslugi/ 48 <link rel=preload> has an unsupported `type` value
[2026-05-02T15:26:04.397Z] [WARNING] https://azovsky.ru/oplatit-uslugi/ 51 <link rel=preload> has an unsupported `type` value
[2026-05-02T15:26:04.397Z] [WARNING] https://azovsky.ru/oplatit-uslugi/ 54 <link rel=preload> has an unsupported `type` value
[2026-05-02T15:27:00.519Z] [SEVERE] https://azovsky.ru/oplatit-uslugi/ 1751:419 Uncaught SyntaxError: Unexpected token 'var'
[2026-05-02T15:27:07.927Z] [SEVERE] https://az.maxibooking.ru/management/online/api_payment_form/file/5b3dee1ecd572258ec6924d1/load 82:50 Uncaught DOMException: Failed to read a named property 'origin' from 'Loc…/azovsky.ru" from accessing a cross-origin frame.
[2026-05-02T15:27:20.013Z] [SEVERE] https://azovsky.ru/uploads/images/articles/map-azovlend-reception-5.jpg - Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR
[2026-05-02T15:27:20.013Z] [SEVERE] https://azovsky.ru/images/newindex/tabSliderAzl-beach016-max.jpg - Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR
[2026-05-02T15:27:20.014Z] [SEVERE] https://azovsky.ru/images/newindex/tabSliderAzl-beach001-max.jpg - Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR
[2026-05-02T15:27:20.014Z] [SEVERE] https://azovsky.ru/images/newindex/tabSliderAzl-beach002-max.jpg - Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR
[2026-05-02T15:27:20.014Z] [SEVERE] https://azovsky.ru/images/newindex/advantage6.svg - Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR
[2026-05-02T15:27:20.014Z] [SEVERE] https://azovsky.ru/images/newindex/advantage2.svg - Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR
[2026-05-02T15:27:20.014Z] [SEVERE] https://azovsky.ru/images/newindex/advantage3.svg - Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR
[2026-05-02T15:27:20.014Z] [SEVERE] https://azovsky.ru/images/newindex/advantage4.svg - Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR
[2026-05-02T15:27:20.014Z] [SEVERE] https://azovsky.ru/images/newindex/advantage1.svg - Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR
[2026-05-02T15:27:20.014Z] [SEVERE] https://azovsky.ru/images/newindex/tabSlider2-img29-max.jpg - Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR
[2026-05-02T15:27:20.015Z] [SEVERE] https://azovsky.ru/images/newindex/tabSliderAzl-beach015-max.jpg - Failed to load resource: net::ERR_HTTP2_PROTOCOL_ERROR
