"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6981","Main page can be opened and loaded","","2026-06-26","passed","2026-06-26","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","24749","Can start reserving a room","","2026-06-26","passed","2026-06-26","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","11333","Pay online is loading","","2026-06-26","passed","2026-06-26","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","6757","Booking form is loaded","","2026-06-26","passed","2026-06-26","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","21247","1st picture of the 1st card is loaded","","2026-06-26","passed","2026-06-26","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","0","All the pictures are loaded","","2026-06-26","skipped","2026-06-26","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","12535","Backend is working","","2026-06-26","passed","2026-06-26","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","18961","Search results via API","","2026-06-26","passed","2026-06-26","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","10640","Pay online is working","","2026-06-26","passed","2026-06-26","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","22131","Search results can be opened and displayed","","2026-06-26","passed","2026-06-26","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
