"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6504","Booking form is loaded","","2026-06-17","passed","2026-06-17","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","17179","Search results via API","","2026-06-17","passed","2026-06-17","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","20409","Can start reserving a room","","2026-06-17","passed","2026-06-17","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","12185","Backend is working","","2026-06-17","passed","2026-06-17","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","24099","Search results can be opened and displayed","","2026-06-17","passed","2026-06-17","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","0","All the pictures are loaded","","2026-06-17","skipped","2026-06-17","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","10129","Pay online is loading","","2026-06-17","passed","2026-06-17","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","9016","Pay online is working","","2026-06-17","passed","2026-06-17","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","6769","Main page can be opened and loaded","","2026-06-17","passed","2026-06-17","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","19049","1st picture of the 1st card is loaded","","2026-06-17","passed","2026-06-17","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
