"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10130","Backend is working","","2026-07-14","passed","2026-07-14","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","15679","Pay online is working","","2026-07-14","passed","2026-07-14","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","1","All the pictures are loaded","","2026-07-14","skipped","2026-07-14","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","16626","Search results via API","","2026-07-14","passed","2026-07-14","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","23615","Search results can be opened and displayed","","2026-07-14","passed","2026-07-14","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","35236","Can start reserving a room","","2026-07-14","passed","2026-07-14","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","6838","Main page can be opened and loaded","","2026-07-14","passed","2026-07-14","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
"","22381","1st picture of the 1st card is loaded","","2026-07-14","passed","2026-07-14","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","6575","Booking form is loaded","","2026-07-14","passed","2026-07-14","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","17294","Pay online is loading","","2026-07-14","passed","2026-07-14","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
